회사명,업종 (대),업종 (소),순이익 21년 1Q,순이익 20년 4Q,순이익 20년 3Q,코드 번호
SG글로벌,자동차 및 관련부품,차량 시트,4 ,-21 ,5 ,A001380
아이오케이,IT서비스,소프트웨어,4 ,-34 ,-59 ,A078860
대림B&CO,건설 및 건축자재,위생도기,4 ,36 ,2 ,A005750
율호,IT서비스,소프트웨어,4 ,1 ,-2 ,A072770
프리엠스,기계,중장비 및 관련품,4 ,4 ,2 ,A053160
토탈소프트,운송 및 물류,운송인프라,4 ,1 ,5 ,A045340
오리엔트정공,자동차 및 관련부품,변속기부품,4 ,-124 ,-12 ,A065500
애머릿지,자동차 및 관련부품,타이어,4 ,-31 ,-16 ,A900100
알에스오토메이션,기계,산업용 로봇,4 ,-23 ,-3 ,A140670
대주산업,식음료,사료,4 ,14 ,8 ,A003310
우신시스템,자동차 및 관련부품,차체부품,4 ,-87 ,16 ,A017370
위세아이텍,IT서비스,시스템서비스,4 ,18 ,6 ,A065370
우정바이오,제약 및 바이오,바이오,4 ,-25 ,-83 ,A215380
혜인,기계,중장비 및 관련품,4 ,39 ,32 ,A003010
화천기공,기계,공작기계,4 ,-22 ,-7 ,A000850
한창산업,철강 및 비철강,아연,4 ,-4 ,6 ,A079170
크로바하이텍,IT 장비 및 소재,파워서플라이,4 ,1 ,-8 ,A043590
TJ미디어,레저산업,레저,4 ,-19 ,-18 ,A032540
자이글,가정용품,가전제품,4 ,9 ,13 ,A234920
포메탈,자동차 및 관련부품,기타 자동차부품,4 ,3 ,1 ,A119500
아즈텍WB,섬유 및 의류,의류,4 ,23 ,12 ,A032080
케이씨피드,식음료,사료,4 ,2 ,3 ,A025880
국일신동,철강 및 비철강,구리,4 ,6 ,-2 ,A060480
우리로,통신,통신장비,4 ,-120 ,31 ,A046970
성문전자,IT 장비 및 소재,콘덴서,4 ,-7 ,-4 ,A014910
와이오엠,섬유 및 의류,의류,4 ,-5 ,3 ,A066430
광진실업,철강 및 비철강,봉형강,4 ,-6 ,-3 ,A026910
엑스큐어,전기 및 전자기기,스마트카드,4 ,-4 ,-8 ,A070300
삼성출판사,미디어 및 엔터,미디어,5 ,501 ,1 ,A068290
키네마스터,IT서비스,소프트웨어,5 ,-6 ,14 ,A139670
이엔드디,자동차 및 관련부품,기타 자동차부품,5 ,-66 ,14 ,A101360
대보마그네틱,IT 장비 및 소재,2차전지,5 ,-11 ,-8 ,A290670
한국전자인증,IT서비스,공인인증서,5 ,4 ,10 ,A041460
유일에너테크,IT 장비 및 소재,2차전지,5 ,-1 ,-13 ,A340930
대유플러스,자동차 및 관련부품,조향부품,5 ,-6 ,9 ,A000300
이루온,IT서비스,시스템서비스,5 ,18 ,14 ,A065440
이노메트리,IT 장비 및 소재,2차전지,5 ,-37 ,-15 ,A302430
수산아이앤티,IT서비스,시스템서비스,5 ,7 ,5 ,A050960
케이맥,디스플레이 장비 및 부품,디스플레이 장비,5 ,-150 ,33 ,A043290
티비씨,미디어 및 엔터,미디어,5 ,26 ,2 ,A033830
엘컴텍,IT 장비 및 소재,카메라모듈,5 ,-41 ,-19 ,A037950
SM LIFE DESIGN,유통,유통,5 ,-23 ,-1 ,A063440
석경에이티,화학,종합 화학,5 ,0 ,1 ,A357550
하이텍팜,제약 및 바이오,원료의약품,5 ,-11 ,6 ,A106190
초록뱀컴퍼니,운송 및 물류,육상운송,5 ,7 ,192 ,A052300
드림씨아이에스,제약 및 바이오,바이오,5 ,13 ,18 ,A223250
까스텔바작,섬유 및 의류,의류,5 ,11 ,9 ,A308100
마니커에프앤지,식음료,식료품,5 ,13 ,6 ,A195500
세명전기,기계,전력기자재,5 ,3 ,16 ,A017510
대한과학,의료기기 및 용품,의료기기,5 ,5 ,3 ,A131220
삼진엘앤디,디스플레이 장비 및 부품,디스플레이 부품,5 ,-26 ,6 ,A054090
메이슨캐피탈,금융,기타 금융,5 ,2 ,19 ,A021880
프럼파스트,건설 및 건축자재,건축자재,5 ,4 ,2 ,A035200
네오크레마,식음료,식료품,5 ,7 ,4 ,A311390
서암기계공업,기계,공작기계,5 ,-3 ,-3 ,A100660
이상네트웍스,유통,전자상거래,5 ,-11 ,5 ,A080010
지니언스,IT서비스,소프트웨어,5 ,28 ,8 ,A263860
리노스,섬유 및 의류,의류,5 ,-25 ,-7 ,A039980
엔피케이,화학,합성수지,5 ,1 ,8 ,A048830
풍강,자동차 및 관련부품,기타 자동차부품,5 ,14 ,6 ,A093380
모두투어리츠,일반서비스,부동산,5 ,3 ,3 ,A204210
한국코퍼레이션,IT서비스,컨택센터,5 ,-52 ,8 ,A050540
나노스,IT 장비 및 소재,카메라모듈,6 ,-12 ,-25 ,A151910
하나기술,IT 장비 및 소재,2차전지,6 ,0 ,0 ,A299030
파세코,가정용품,주방용품,6 ,23 ,55 ,A037070
특수건설,건설 및 건축자재,중견건설사,6 ,11 ,-10 ,A026150
명문제약,제약 및 바이오,제약,6 ,-80 ,-48 ,A017180
나인테크,IT 장비 및 소재,2차전지,6 ,-8 ,8 ,A267320
뉴인텍,IT 장비 및 소재,콘덴서,6 ,0 ,0 ,A012340
모바일어플라이언스,자동차 및 관련부품,전장부품,6 ,3 ,4 ,A087260
제일제강,철강 및 비철강,선재(와이어),6 ,-7 ,-13 ,A023440
삼일제약,제약 및 바이오,제약,6 ,-5 ,-2 ,A000520
대우부품,자동차 및 관련부품,전장부품,6 ,-32 ,-4 ,A009320
아톤,IT서비스,소프트웨어,6 ,-8 ,-3 ,A158430
제노코,기계,우주항공,6 ,5 ,9 ,A361390
한국맥널티,식음료,음료,6 ,8 ,5 ,A222980
희림,건설 및 건축자재,중견건설사,6 ,34 ,7 ,A037440
타이거일렉,반도체 관련장비 및 부품,반도체장비,6 ,-8 ,17 ,A219130
케이에스피,조선,조선기자재,6 ,0 ,1 ,A073010
제일테크노스,건설 및 건축자재,거푸집,6 ,-35 ,-6 ,A038010
체리부로,식음료,식료품,6 ,-161 ,-48 ,A066360
코아스,가정용품,가구,6 ,0 ,-18 ,A071950
젬백스,제약 및 바이오,바이오,7 ,5 ,-18 ,A082270
진매트릭스,제약 및 바이오,바이오,7 ,7 ,18 ,A109820
갤럭시아머니트리,IT서비스,전자결제,7 ,7 ,11 ,A094480
라파스,가정용품,화장품,7 ,-17 ,-11 ,A214260
녹십자웰빙,제약 및 바이오,바이오,7 ,-17 ,12 ,A234690
바이오톡스텍,제약 및 바이오,바이오,7 ,5 ,5 ,A086040
에스엠코어,기계,자동화기기,7 ,-10 ,3 ,A007820
오하임아이엔티,금융,기타 금융,7 ,0 ,0 ,A309930
칩스앤미디어,반도체 관련장비 및 부품,반도체 설계,7 ,2 ,11 ,A094360
플레이디,미디어 및 엔터,광고,7 ,7 ,2 ,A237820
까뮤이앤씨,건설 및 건축자재,중견건설사,7 ,-4 ,29 ,A013700
지니틱스,반도체 관련장비 및 부품,반도체 부품,7 ,-19 ,6 ,A303030
삼일기업공사,건설 및 건축자재,중견건설사,7 ,4 ,3 ,A002290
푸른기술,전기 및 전자기기,전자기기,7 ,9 ,2 ,A094940
효성오앤비,화학,비료 및 농약,7 ,6 ,-3 ,A097870
핸디소프트,IT서비스,소프트웨어,7 ,12 ,10 ,A220180
무림SP,종이 및 용기,종이,7 ,-25 ,-14 ,A001810
신원종합개발,건설 및 건축자재,중견건설사,7 ,-149 ,-17 ,A017000
세보엠이씨,건설 및 건축자재,중견건설사,7 ,8 ,15 ,A011560
제룡산업,기계,전력기자재,7 ,8 ,6 ,A147830
인산가,식음료,식료품,7 ,19 ,11 ,A277410
WISCOM,화학,합성수지,7 ,-7 ,4 ,A024070
전방,섬유 및 의류,섬유,7 ,240 ,-60 ,A000950
서산,건설 및 건축자재,시멘트 및 레미콘,7 ,-2 ,-11 ,A079650
대모,기계,기계,7 ,-8 ,-4 ,A317850
신화콘텍,IT 장비 및 소재,IT 소재 및 부품,7 ,3 ,2 ,A187270
세진티에스,디스플레이 장비 및 부품,디스플레이 부품,7 ,-3 ,22 ,A067770
아래스,IT서비스,시스템서비스,7 ,-27 ,8 ,A050320
엘디티,반도체 관련장비 및 부품,반도체 설계,7 ,9 ,5 ,A096870
유아이디,디스플레이 장비 및 부품,디스플레이 부품,7 ,-11 ,-27 ,A069330
알테오젠,제약 및 바이오,바이오,8 ,-104 ,41 ,A196170
동아쏘시오홀딩스,지주사,지주사,8 ,"1,347 ",128 ,A000640
동아에스티,제약 및 바이오,제약,8 ,-145 ,42 ,A170900
일진다이아,철강 및 비철강,광물,8 ,-15 ,26 ,A081000
멕아이씨에스,의료기기 및 용품,의료기기,8 ,49 ,90 ,A058110
위드텍,전기 및 전자기기,전자기기,8 ,0 ,0 ,A348350
일성건설,건설 및 건축자재,중견건설사,8 ,3 ,7 ,A013360
동양철관,철강 및 비철강,강관,8 ,-3 ,21 ,A008970
코리아나,가정용품,화장품,8 ,5 ,-8 ,A027050
대성창투,금융,기타 금융,8 ,-19 ,34 ,A027830
신일전자,가정용품,가전제품,8 ,15 ,13 ,A002700
엔텔스,통신,통신서비스,8 ,30 ,2 ,A069410
큐에스아이,IT 장비 및 소재,IT 소재 및 부품,8 ,0 ,-13 ,A066310
한신기계,기계,기계,8 ,8 ,7 ,A011700
신풍제지,종이 및 용기,종이,8 ,396 ,-12 ,A002870
승일,종이 및 용기,용기 및 포장재,8 ,-14 ,0 ,A049830
NH프라임리츠,일반서비스,부동산,8 ,18 ,9 ,A338100
액트로,IT 장비 및 소재,스마트폰 부품,8 ,-22 ,-3 ,A290740
코위버,통신,통신장비,8 ,19 ,17 ,A056360
진양제약,제약 및 바이오,제약,8 ,11 ,13 ,A007370
토박스코리아,섬유 및 의류,의류,8 ,-23 ,-1 ,A215480
SGA솔루션즈,IT서비스,보안서비스,8 ,76 ,-3 ,A184230
한국바이오젠,화학,종합 화학,8 ,12 ,10 ,A318000
피앤씨테크,유틸리티,스마트그리드,8 ,-1 ,1 ,A237750
부스타,기계,보일러,8 ,23 ,9 ,A008470
씨유메디칼,의료기기 및 용품,의료기기,8 ,-215 ,-29 ,A115480
아이디피,전기 및 전자기기,전자기기,8 ,0 ,4 ,A332370
YW,유통,유통,8 ,8 ,7 ,A051390
경인전자,전기 및 전자기기,전기장비,8 ,-9 ,9 ,A009140
패션플랫폼,섬유 및 의류,의류,8 ,-13 ,14 ,A225590
한국파마,제약 및 바이오,바이오,9 ,5 ,10 ,A032300
크리스탈지노믹스,제약 및 바이오,바이오,9 ,-156 ,151 ,A083790
APS홀딩스,지주사,지주사,9 ,-466 ,54 ,A054620
제일파마홀딩스,지주사,지주사,9 ,27 ,16 ,A002620
동방,운송 및 물류,운송인프라,9 ,27 ,217 ,A004140
아미노로직스,제약 및 바이오,원료의약품,9 ,9 ,7 ,A074430
KNN,미디어 및 엔터,미디어,9 ,34 ,11 ,A058400
앤디포스,IT 장비 및 소재,스마트폰 부품,9 ,-55 ,119 ,A238090
화일약품,제약 및 바이오,제약,9 ,-3 ,4 ,A061250
삼목에스폼,건설 및 건축자재,거푸집,9 ,81 ,-57 ,A018310
서연이화,자동차 및 관련부품,차량 시트,9 ,77 ,24 ,A200880
빅텍,기계,방위산업,9 ,12 ,11 ,A065450
블루콤,IT 장비 및 소재,스마트폰 부품,9 ,8 ,23 ,A033560
팬엔터테인먼트,미디어 및 엔터,미디어,9 ,7 ,11 ,A068050
에이텍티앤,전기 및 전자기기,스마트카드,9 ,13 ,0 ,A224110
국제약품,제약 및 바이오,제약,9 ,-37 ,7 ,A002720
옵티시스,통신,통신장비,9 ,1 ,-2 ,A109080
엔에스,IT 장비 및 소재,2차전지,9 ,15 ,-4 ,A217820
PN풍년,가정용품,주방용품,9 ,-2 ,6 ,A024940
상보,디스플레이 장비 및 부품,디스플레이 부품,9 ,-12 ,12 ,A027580
인콘,전기 및 전자기기,보안장비,9 ,6 ,5 ,A083640
제이스텍,디스플레이 장비 및 부품,디스플레이 장비,9 ,-82 ,-22 ,A090470
이지스레지던스리츠,일반서비스,부동산,9 ,0 ,0 ,A350520
삼양옵틱스,IT 장비 및 소재,카메라모듈,9 ,5 ,8 ,A225190
디이엔티,디스플레이 장비 및 부품,디스플레이 장비,9 ,-42 ,3 ,A079810
웰크론한텍,기계,플랜트설비,9 ,3 ,10 ,A076080
디알텍,의료기기 및 용품,의료기기,9 ,-58 ,-9 ,A214680
EMW,IT 장비 및 소재,스마트폰 부품,9 ,-21 ,-16 ,A079190
램테크놀러지,반도체 관련장비 및 부품,반도체 부품,9 ,7 ,8 ,A171010
폴라리스오피스,IT서비스,소프트웨어,9 ,-2 ,10 ,A041020
화성밸브,기계,피팅 및 밸브,9 ,5 ,1 ,A039610
상신전자,IT 장비 및 소재,전자부품,9 ,3 ,9 ,A263810
슈프리마아이디,IT 장비 및 소재,카메라모듈,9 ,4 ,7 ,A317770
오파스넷,IT서비스,시스템서비스,9 ,20 ,21 ,A173130
체시스,자동차 및 관련부품,동력전달장치,9 ,-16 ,-14 ,A033250
파커스,전기 및 전자기기,LED,9 ,-106 ,6 ,A065690
이퓨쳐,일반서비스,교육,9 ,4 ,1 ,A134060
인포마크,전기 및 전자기기,전자기기,9 ,-83 ,-3 ,A175140
이스트아시아홀딩스,섬유 및 의류,의류,9 ,-1 ,15 ,A900110
이연제약,제약 및 바이오,제약,10 ,16 ,9 ,A102460
코미팜,제약 및 바이오,동물용의약품,10 ,-19 ,-10 ,A041960
엠투엔,종이 및 용기,용기 및 포장재,10 ,-79 ,7 ,A033310
신성통상,섬유 및 의류,의류,10 ,204 ,-31 ,A005390
아바텍,디스플레이 장비 및 부품,디스플레이 장비,10 ,5 ,20 ,A149950
미래컴퍼니,디스플레이 장비 및 부품,디스플레이 장비,10 ,-69 ,-40 ,A049950
로보스타,기계,산업용 로봇,10 ,-35 ,-54 ,A090360
씨에스베어링,기계,기계,10 ,14 ,5 ,A297090
오텍,기계,기계,10 ,-30 ,23 ,A067170
핌스,반도체 관련장비 및 부품,반도체 부품,10 ,-17 ,23 ,A347770
비트컴퓨터,의료기기 및 용품,의료서비스,10 ,27 ,7 ,A032850
코렌텍,의료기기 및 용품,의료용품,10 ,-2 ,4 ,A104540
신일제약,제약 및 바이오,제약,10 ,11 ,19 ,A012790
티사이언티픽,유통,전자상거래,10 ,0 ,9 ,A057680
위지트,디스플레이 장비 및 부품,디스플레이 부품,10 ,84 ,32 ,A036090
나무기술,IT서비스,소프트웨어,10 ,17 ,-11 ,A242040
파이오링크,통신,통신장비,10 ,52 ,28 ,A170790
KCI,화학,계면활성제,10 ,8 ,22 ,A036670
코데즈컴바인,섬유 및 의류,의류,10 ,30 ,9 ,A047770
동국알앤에스,철강 및 비철강,광물,10 ,-1 ,6 ,A075970
지엔씨에너지,유틸리티,전력,10 ,8 ,1 ,A119850
파인디지털,자동차 및 관련부품,전장부품,10 ,-14 ,52 ,A038950
대호특수강,철강 및 비철강,선재(와이어),10 ,-112 ,-21 ,A021040
네오티스,기계,기계,10 ,-8 ,8 ,A085910
제이엠아이,디스플레이 장비 및 부품,디스플레이 장비,10 ,-47 ,-13 ,A033050
진도,섬유 및 의류,의류,10 ,-6 ,-5 ,A088790
한솔PNS,종이 및 용기,종이,10 ,1 ,15 ,A010420
케이피티유,기계,기계,10 ,-47 ,8 ,A054410
쎄트렉아이,기계,우주항공,11 ,39 ,29 ,A099320
켐온,제약 및 바이오,바이오,11 ,3 ,4 ,A217600
한컴MDS,IT서비스,소프트웨어,11 ,-3 ,7 ,A086960
안국약품,제약 및 바이오,제약,11 ,6 ,3 ,A001540
비씨월드제약,제약 및 바이오,제약,11 ,-3 ,11 ,A200780
코퍼스코리아,미디어 및 엔터,미디어,11 ,0 ,0 ,A322780
이지스밸류리츠,일반서비스,부동산,11 ,17 ,0 ,A334890
한독크린텍,가정용품,가전제품,11 ,18 ,27 ,A256150
스페코,기계,플랜트설비,11 ,0 ,28 ,A013810
플레이위드,미디어 및 엔터,게임,11 ,2 ,30 ,A023770
선진뷰티사이언스,가정용품,화장품,11 ,-1 ,-8 ,A086710
모나미,가정용품,개인용품,11 ,22 ,1 ,A005360
참엔지니어링,디스플레이 장비 및 부품,디스플레이 장비,11 ,-100 ,140 ,A009310
팜스빌,제약 및 바이오,바이오,11 ,-7 ,8 ,A318010
진양산업,화학,폴리우레탄,11 ,-10 ,30 ,A003780
성우테크론,반도체 관련장비 및 부품,반도체장비,11 ,19 ,10 ,A045300
세우글로벌,유통,유통,11 ,-27 ,3 ,A013000
글로벌에스엠,기계,기계,11 ,23 ,3 ,A900070
아이컴포넌트,디스플레이 장비 및 부품,디스플레이 부품,11 ,-9 ,-4 ,A059100
한일화학,화학,기타 화학,11 ,8 ,-4 ,A007770
대동금속,자동차 및 관련부품,엔진부품,11 ,5 ,-1 ,A020400
아이티엠반도체,IT 장비 및 소재,2차전지,12 ,32 ,34 ,A084850
일신바이오,의료기기 및 용품,의료기기,12 ,7 ,9 ,A068330
시노펙스,디스플레이 장비 및 부품,디스플레이 부품,12 ,-62 ,-23 ,A025320
국전약품,제약 및 바이오,제약,12 ,0 ,0 ,A307750
야스,디스플레이 장비 및 부품,디스플레이 부품,12 ,7 ,18 ,A255440
위즈코프,석유 및 가스,석유판매,12 ,-6 ,18 ,A038620
줌인터넷,IT서비스,인터넷서비스,12 ,4 ,5 ,A239340
대원전선,전기 및 전자기기,케이블,12 ,7 ,0 ,A006340
TS인베스트먼트,금융,기타 금융,12 ,31 ,8 ,A246690
정산애강,건설 및 건축자재,건축자재,12 ,-4 ,10 ,A022220
TCC스틸,종이 및 용기,용기 및 포장재,12 ,-16 ,14 ,A002710
인포뱅크,IT서비스,인터넷서비스,12 ,1 ,12 ,A039290
플랜티넷,IT서비스,인터넷서비스,12 ,-2 ,4 ,A075130
아비코전자,IT 장비 및 소재,IT 소재 및 부품,12 ,-27 ,8 ,A036010
이글벳,제약 및 바이오,동물용의약품,12 ,7 ,5 ,A044960
THQ,통신,통신장비,12 ,-32 ,-4 ,A192410
이루다,의료기기 및 용품,의료용품,12 ,28 ,10 ,A164060
케이피에프,자동차 및 관련부품,기타 자동차부품,12 ,-36 ,-2 ,A024880
린드먼아시아,금융,기타 금융,12 ,16 ,7 ,A277070
케이탑리츠,일반서비스,부동산,12 ,83 ,12 ,A145270
스카이문스테크놀로지,통신,통신장비,12 ,3 ,14 ,A033790
CMG제약,제약 및 바이오,제약,13 ,-25 ,6 ,A058820
서연,지주사,지주사,13 ,123 ,-7 ,A007860
유니온머티리얼,자동차 및 관련부품,기타 자동차부품,13 ,-15 ,-11 ,A047400
크린앤사이언스,자동차 및 관련부품,기타 자동차부품,13 ,-14 ,45 ,A045520
YBM넷,일반서비스,교육,13 ,-5 ,0 ,A057030
유니켐,섬유 및 의류,피혁(가죽),13 ,37 ,18 ,A011330
더블유에스아이,제약 및 바이오,바이오,13 ,0 ,0 ,A299170
한일사료,식음료,사료,13 ,41 ,-4 ,A005860
씨큐브,화학,기타 화학,13 ,6 ,2 ,A101240
동일제강,철강 및 비철강,선재(와이어),13 ,5 ,-7 ,A002690
윈하이텍,건설 및 건축자재,거푸집,13 ,-18 ,-24 ,A192390
나노캠텍,디스플레이 장비 및 부품,디스플레이 부품,13 ,-39 ,1 ,A091970
신풍제약,제약 및 바이오,제약,14 ,5 ,10 ,A019170
인트론바이오,제약 및 바이오,바이오,14 ,40 ,20 ,A048530
빙그레,식음료,음료,14 ,-148 ,150 ,A005180
제테마,의료기기 및 용품,의료기기,14 ,2 ,-21 ,A216080
하나마이크론,반도체 관련장비 및 부품,반도체장비,14 ,-162 ,-16 ,A067310
브랜드엑스코퍼레이션,섬유 및 의류,의류,14 ,-12 ,29 ,A337930
제로투세븐,유아동산업,유아동산업,14 ,-20 ,-4 ,A159580
녹십자엠에스,의료기기 및 용품,의료용품,14 ,28 ,5 ,A142280
대화제약,제약 및 바이오,제약,14 ,-10 ,-8 ,A067080
위더스제약,제약 및 바이오,바이오,14 ,12 ,7 ,A330350
와이엠씨,디스플레이 장비 및 부품,디스플레이 부품,14 ,21 ,18 ,A155650
형지엘리트,섬유 및 의류,의류,14 ,12 ,-11 ,A093240
DRB동일,자동차 및 관련부품,기타 자동차부품,14 ,-22 ,24 ,A004840
피에스텍,전기 및 전자기기,계측기,14 ,20 ,5 ,A002230
조비,화학,비료 및 농약,14 ,-2 ,-10 ,A001550
덕신하우징,건설 및 건축자재,거푸집,14 ,-24 ,-30 ,A090410
신영와코루,섬유 및 의류,의류,14 ,-31 ,23 ,A005800
이씨에스,IT서비스,컨택센터,14 ,14 ,13 ,A067010
본느,가정용품,화장품,14 ,-18 ,0 ,A226340
링크제니시스,IT서비스,소프트웨어,14 ,-2 ,6 ,A219420
DSR제강,철강 및 비철강,선재(와이어),14 ,0 ,5 ,A069730
세화피앤씨,가정용품,화장품,14 ,-3 ,17 ,A252500
원풍,화학,기타 화학,14 ,-9 ,13 ,A008370
인베니아,디스플레이 장비 및 부품,디스플레이 장비,14 ,-30 ,-33 ,A079950
에프앤리퍼블릭,전기 및 전자기기,보안장비,14 ,-278 ,-34 ,A064090
포인트모바일,IT 장비 및 소재,스마트폰 부품,15 ,0 ,0 ,A318020
경보제약,제약 및 바이오,원료의약품,15 ,3 ,25 ,A214390
포인트엔지니어링,반도체 관련장비 및 부품,반도체 부품,15 ,17 ,20 ,A256630
파나진,의료기기 및 용품,진단기기,15 ,10 ,16 ,A046210
서린바이오,제약 및 바이오,바이오,15 ,15 ,13 ,A038070
큐브엔터,미디어 및 엔터,매니지먼트,15 ,-6 ,2 ,A182360
팅크웨어,자동차 및 관련부품,전장부품,15 ,45 ,31 ,A084730
보해양조,식음료,음료,15 ,13 ,4 ,A000890
흥국에프엔비,식음료,음료,15 ,11 ,12 ,A189980
유라테크,자동차 및 관련부품,기타 자동차부품,15 ,22 ,1 ,A048430
지엠비코리아,자동차 및 관련부품,변속기부품,15 ,22 ,-28 ,A013870
에프앤가이드,IT서비스,시스템서비스,15 ,18 ,13 ,A064850
대봉엘에스,가정용품,화장품,15 ,2 ,16 ,A078140
케이엔제이,반도체 관련장비 및 부품,반도체 부품,15 ,-3 ,-32 ,A272110
유비벨록스,전기 및 전자기기,스마트카드,15 ,8 ,21 ,A089850
휴비츠,의료기기 및 용품,의료기기,15 ,36 ,35 ,A065510
한국종합기술,건설 및 건축자재,중견건설사,15 ,62 ,4 ,A023350
오리콤,미디어 및 엔터,광고,15 ,21 ,-1 ,A010470
에스에이티,통신,통신장비,15 ,9 ,13 ,A060540
알로이스,전기 및 전자기기,전자기기,15 ,11 ,4 ,A297570
티플랙스,철강 및 비철강,스테인리스,15 ,15 ,6 ,A081150
딜리,전기 및 전자기기,전자기기,15 ,-10 ,-4 ,A131180
큐로홀딩스,식음료,음료,15 ,-44 ,-19 ,A051780
아이엠,IT 장비 및 소재,카메라모듈,15 ,-76 ,-8 ,A101390
메타바이오메드,의료기기 및 용품,의료용품,15 ,-21 ,7 ,A059210
신송홀딩스,지주사,지주사,15 ,-6 ,11 ,A006880
다믈멀티미디어,반도체 관련장비 및 부품,반도체 설계,15 ,-1 ,2 ,A093640
강원,기계,플랜트설비,15 ,-62 ,1 ,A114190
한전기술,건설 및 건축자재,중견건설사,16 ,99 ,79 ,A052690
파인테크닉스,IT 장비 및 소재,스마트폰 부품,16 ,-16 ,52 ,A106240
원방테크,기계,기계,16 ,5 ,17 ,A053080
중앙백신,제약 및 바이오,동물용의약품,16 ,-15 ,9 ,A072020
머큐리,통신,통신장비,16 ,59 ,20 ,A100590
써니전자,IT 장비 및 소재,IT 소재 및 부품,16 ,10 ,22 ,A004770
보라티알,식음료,식료품,16 ,4 ,5 ,A250000
나우IB,금융,기타 금융,16 ,21 ,29 ,A293580
고려산업,식음료,사료,16 ,12 ,26 ,A002140
아진엑스텍,기계,산업용 로봇,16 ,-9 ,2 ,A059120
와이즈버즈,미디어 및 엔터,광고,16 ,-10 ,-20 ,A273060
로체시스템즈,디스플레이 장비 및 부품,디스플레이 장비,16 ,8 ,37 ,A071280
디케이앤디,섬유 및 의류,피혁(가죽),16 ,-5 ,23 ,A263020
동우팜투테이블,식음료,식료품,16 ,25 ,5 ,A088910
우진플라임,기계,기계,16 ,43 ,10 ,A049800
얼라인드,의료기기 및 용품,진단기기,16 ,7 ,0 ,A238120
에이스토리,미디어 및 엔터,미디어,17 ,31 ,-8 ,A241840
한일홀딩스,지주사,지주사,17 ,211 ,153 ,A003300
이노와이어리스,통신,통신장비,17 ,13 ,21 ,A073490
선광,운송 및 물류,운송인프라,17 ,-8 ,52 ,A003100
보광산업,건설 및 건축자재,건축자재,17 ,52 ,12 ,A225530
수산중공업,기계,중장비 및 관련품,17 ,12 ,0 ,A017550
오르비텍,기계,우주항공,17 ,-175 ,-5 ,A046120
그린플러스,철강 및 비철강,광물,17 ,-37 ,7 ,A186230
켐트로스,IT 장비 및 소재,2차전지,17 ,11 ,9 ,A220260
에이테크솔루션,기계,금형,17 ,11 ,7 ,A071670
SCI평가정보,일반서비스,신용정보,17 ,-2 ,8 ,A036120
현대에버다임,기계,중장비 및 관련품,17 ,-108 ,-8 ,A041440
카스,기계,기계,17 ,-18 ,-3 ,A016920
3S,반도체 관련장비 및 부품,반도체장비,17 ,2 ,-7 ,A060310
링네트,IT서비스,시스템서비스,17 ,33 ,19 ,A042500
이랜시스,IT 장비 및 소재,전자부품,17 ,8 ,3 ,A264850
라온테크,반도체 관련장비 및 부품,종합 반도체,17 ,0 ,0 ,A232680
MH에탄올,식음료,음료,17 ,59 ,4 ,A023150
디스플레이텍,IT 장비 및 소재,스마트폰 부품,17 ,-2 ,12 ,A066670
제이티,반도체 관련장비 및 부품,반도체장비,17 ,20 ,2 ,A089790
미래아이앤지,IT서비스,시스템서비스,17 ,4 ,3 ,A007120
제일연마,철강 및 비철강,광물,17 ,4 ,11 ,A001560
유신,건설 및 건축자재,중견건설사,17 ,13 ,1 ,A054930
파인텍,디스플레이 장비 및 부품,디스플레이 부품,17 ,-245 ,29 ,A131760
미래산업,반도체 관련장비 및 부품,반도체장비,17 ,5 ,-72 ,A025560
에이치케이,기계,기계,17 ,7 ,5 ,A044780
차바이오텍,제약 및 바이오,바이오,18 ,-103 ,-14 ,A085660
동성케미컬,지주사,지주사,18 ,-95 ,43 ,A102260
미코바이오메드,의료기기 및 용품,의료기기,18 ,0 ,17 ,A214610
NEW,미디어 및 엔터,영화,18 ,-12 ,43 ,A160550
코아시아,IT 장비 및 소재,IT 소재 및 부품,18 ,-57 ,26 ,A045970
넥스턴바이오,기계,공작기계,18 ,-32 ,-9 ,A089140
오성첨단소재,디스플레이 장비 및 부품,디스플레이 장비,18 ,5 ,11 ,A052420
씨티씨바이오,제약 및 바이오,동물용의약품,18 ,-6 ,-17 ,A060590
제이브이엠,의료기기 및 용품,의료기기,18 ,30 ,17 ,A054950
한국석유,건설 및 건축자재,건축자재,18 ,24 ,19 ,A004090
모비릭스,IT서비스,시스템서비스,18 ,22 ,34 ,A348030
잉글우드랩,가정용품,화장품,18 ,18 ,15 ,A950140
씨티케이코스메틱스,가정용품,화장품,18 ,-8 ,2 ,A260930
유에스티,철강 및 비철강,강관,18 ,16 ,14 ,A263770
메가엠디,일반서비스,교육,18 ,-21 ,26 ,A133750
비아트론,디스플레이 장비 및 부품,디스플레이 장비,18 ,31 ,54 ,A141000
남성,전기 및 전자기기,전자기기,18 ,-152 ,4 ,A004270
케이엘넷,IT서비스,시스템서비스,18 ,16 ,11 ,A039420
광진윈텍,자동차 및 관련부품,차량 시트,18 ,-7 ,17 ,A090150
디케이락,기계,피팅 및 밸브,18 ,-31 ,-1 ,A105740
KB오토시스,자동차 및 관련부품,제동장치,18 ,11 ,16 ,A024120
네오오토,자동차 및 관련부품,변속기부품,18 ,9 ,16 ,A212560
