회사명,업종 (대),업종 (소),순이익 21년 1Q,순이익 20년 4Q,순이익 20년 3Q,코드 번호
신테카바이오,제약 및 바이오,바이오,-19 ,-20 ,-15 ,A226330
대창솔루션,조선,조선기자재,-19 ,-172 ,-19 ,A096350
아이크래프트,통신,통신장비,-19 ,39 ,-4 ,A052460
삼정펄프,종이 및 용기,종이,-19 ,25 ,76 ,A009770
나노씨엠에스,화학,종합 화학,-19 ,-35 ,17 ,A247660
한국정밀기계,기계,공작기계,-19 ,-60 ,-35 ,A101680
진원생명과학,제약 및 바이오,바이오,-18 ,-95 ,-33 ,A011000
영진약품,제약 및 바이오,제약,-18 ,-24 ,-3 ,A003520
아미코젠,제약 및 바이오,바이오,-18 ,90 ,76 ,A092040
초록뱀미디어,미디어 및 엔터,미디어,-18 ,232 ,-507 ,A047820
시스웍,반도체 관련장비 및 부품,반도체장비,-18 ,11 ,8 ,A269620
한빛소프트,미디어 및 엔터,게임,-18 ,-85 ,-2 ,A047080
WI,반도체 관련장비 및 부품,반도체장비,-18 ,-16 ,-9 ,A073570
글로본,금융,기타 금융,-18 ,-12 ,-11 ,A019660
이디티,기계,우주항공,-18 ,-23 ,8 ,A215090
홈캐스트,가정용품,셋톱박스,-18 ,-19 ,-4 ,A064240
중앙디앤엠,통신,통신장비,-18 ,-64 ,-20 ,A051980
하이즈항공,기계,우주항공,-18 ,-17 ,-23 ,A221840
파수,IT서비스,보안서비스,-18 ,73 ,-20 ,A150900
배럴,섬유 및 의류,의류,-18 ,-17 ,-7 ,A267790
제너셈,반도체 관련장비 및 부품,반도체장비,-18 ,2 ,4 ,A217190
셀바스헬스케어,의료기기 및 용품,의료기기,-18 ,2 ,7 ,A208370
씨엔플러스,IT 장비 및 소재,IT 소재 및 부품,-18 ,-12 ,3 ,A115530
센트럴인사이트,IT서비스,시스템서비스,-18 ,-26 ,-9 ,A012600
아모텍,IT 장비 및 소재,스마트폰 부품,-17 ,-70 ,-54 ,A052710
소마젠,제약 및 바이오,제약,-17 ,-28 ,-171 ,A950200
국동,섬유 및 의류,의류,-17 ,-71 ,60 ,A005320
유진로봇,가정용품,가전제품,-17 ,-25 ,-15 ,A056080
호전실업,섬유 및 의류,의류,-17 ,-117 ,43 ,A111110
엠에프엠코리아,섬유 및 의류,의류,-17 ,0 ,0 ,A323230
자안코스메틱,가정용품,화장품,-17 ,-65 ,-33 ,A219550
엔에스쇼핑,유통,홈쇼핑,-16 ,4 ,34 ,A138250
큐렉소,의료기기 및 용품,의료기기,-16 ,14 ,6 ,A060280
케이피에스,디스플레이 장비 및 부품,디스플레이 부품,-16 ,-1 ,-24 ,A256940
바이브컴퍼니,IT서비스,소프트웨어,-16 ,0 ,0 ,A301300
큐로컴,IT서비스,시스템서비스,-16 ,-20 ,-19 ,A040350
룽투코리아,미디어 및 엔터,게임,-16 ,68 ,1 ,A060240
옴니시스템,유틸리티,스마트그리드,-16 ,-54 ,9 ,A057540
한국테크놀로지,기계,보일러,-16 ,-146 ,-10 ,A053590
라이프시맨틱스,의료기기 및 용품,의료서비스,-16 ,-16 ,-62 ,A347700
윌링스,에너지,태양광,-16 ,-7 ,-4 ,A313760
매직마이크로,전기 및 전자기기,LED,-16 ,-327 ,-49 ,A127160
호텔신라,유통,면세점,-15 ,"-1,136 ",-285 ,A008770
헬릭스미스,제약 및 바이오,바이오,-15 ,-177 ,-157 ,A084990
카페24,IT서비스,인터넷서비스,-15 ,37 ,17 ,A042000
레이,의료기기 및 용품,의료기기,-15 ,47 ,24 ,A228670
대원강업,자동차 및 관련부품,스프링,-15 ,19 ,51 ,A000430
동아지질,건설 및 건축자재,중견건설사,-15 ,-17 ,17 ,A028100
양지사,가정용품,개인용품,-15 ,37 ,13 ,A030960
CBI,자동차 및 관련부품,엔진부품,-15 ,-14 ,-7 ,A013720
셀레믹스,제약 및 바이오,바이오,-15 ,-11 ,-11 ,A331920
우성사료,식음료,사료,-15 ,62 ,17 ,A006980
엘티씨,디스플레이 장비 및 부품,디스플레이 부품,-15 ,-71 ,9 ,A170920
아이에스이커머스,유통,전자상거래,-15 ,-32 ,-11 ,A069920
티라유텍,IT서비스,시스템서비스,-15 ,-10 ,17 ,A322180
하이트론,전기 및 전자기기,보안장비,-15 ,-163 ,-30 ,A019490
이노와이즈,자동차 및 관련부품,기타 자동차부품,-15 ,-17 ,68 ,A086250
경남제약헬스케어,전기 및 전자기기,전자기기,-15 ,-13 ,-15 ,A223310
소리바다,미디어 및 엔터,미디어,-15 ,-257 ,-26 ,A053110
이월드,레저산업,레저,-14 ,-40 ,-36 ,A084680
파워로직스,IT 장비 및 소재,카메라모듈,-14 ,-152 ,3 ,A047310
싸이토젠,제약 및 바이오,바이오,-14 ,-8 ,-15 ,A217330
액션스퀘어,미디어 및 엔터,게임,-14 ,-11 ,-3 ,A205500
엔비티,미디어 및 엔터,광고,-14 ,10 ,3 ,A236810
참좋은여행,레저산업,여행,-14 ,30 ,-19 ,A094850
아이비김영,일반서비스,교육,-14 ,25 ,-8 ,A339950
와이제이엠게임즈,IT 장비 및 소재,스마트폰 부품,-14 ,-31 ,-14 ,A193250
콤텍시스템,IT서비스,시스템서비스,-14 ,27 ,-2 ,A031820
코맥스,건설 및 건축자재,홈네트워크,-14 ,13 ,10 ,A036690
KR모터스,자동차 및 관련부품,완성차,-14 ,-56 ,-12 ,A000040
국영지앤엠,건설 및 건축자재,유리,-14 ,-7 ,-7 ,A006050
